Year,Rank,Song Title,Artist(s)
7/9/88,5,Dirty Diana,Michael Jackson
7/16/88,15,Dirty Diana,Michael Jackson
7/23/88,30,Dirty Diana,Michael Jackson
7/23/88,54,Another Part Of Me,Michael Jackson
7/30/88,43,Another Part Of Me,Michael Jackson
7/30/88,51,Dirty Diana,Michael Jackson
8/6/88,31,Another Part Of Me,Michael Jackson
8/6/88,77,Dirty Diana,Michael Jackson
8/13/88,25,Another Part Of Me,Michael Jackson
8/20/88,20,Another Part Of Me,Michael Jackson
8/27/88,17,Another Part Of Me,Michael Jackson
9/3/88,12,Another Part Of Me,Michael Jackson
9/10/88,11,Another Part Of Me,Michael Jackson
9/17/88,12,Another Part Of Me,Michael Jackson
9/24/88,30,Another Part Of Me,Michael Jackson
10/1/88,45,Another Part Of Me,Michael Jackson
10/8/88,83,Another Part Of Me,Michael Jackson
10/15/88,96,Another Part Of Me,Michael Jackson
11/12/88,66,Smooth Criminal,Michael Jackson
11/19/88,49,Smooth Criminal,Michael Jackson
11/26/88,38,Smooth Criminal,Michael Jackson
12/3/88,32,Smooth Criminal,Michael Jackson
12/10/88,25,Smooth Criminal,Michael Jackson
12/17/88,20,Smooth Criminal,Michael Jackson
12/24/88,13,Smooth Criminal,Michael Jackson
12/31/88,13,Smooth Criminal,Michael Jackson
1/7/89,10,Smooth Criminal,Michael Jackson
1/14/89,7,Smooth Criminal,Michael Jackson
1/21/89,7,Smooth Criminal,Michael Jackson
1/28/89,15,Smooth Criminal,Michael Jackson
2/4/89,31,Smooth Criminal,Michael Jackson
2/11/89,51,Smooth Criminal,Michael Jackson
2/18/89,80,Smooth Criminal,Michael Jackson
11/23/91,35,Black Or White,Michael Jackson
11/30/91,3,Black Or White,Michael Jackson
12/7/91,1,Black Or White,Michael Jackson
12/14/91,1,Black Or White,Michael Jackson
12/21/91,1,Black Or White,Michael Jackson
12/28/91,1,Black Or White,Michael Jackson
1/4/92,1,Black Or White,Michael Jackson
1/11/92,1,Black Or White,Michael Jackson
1/18/92,1,Black Or White,Michael Jackson
1/25/92,4,Black Or White,Michael Jackson
1/25/92,53,Remember The Time,Michael Jackson
2/1/92,9,Black Or White,Michael Jackson
2/1/92,20,Remember The Time,Michael Jackson
2/8/92,13,Remember The Time,Michael Jackson
2/8/92,15,Black Or White,Michael Jackson
2/15/92,8,Remember The Time,Michael Jackson
2/15/92,20,Black Or White,Michael Jackson
2/22/92,5,Remember The Time,Michael Jackson
2/22/92,29,Black Or White,Michael Jackson
2/29/92,4,Remember The Time,Michael Jackson
2/29/92,35,Black Or White,Michael Jackson
3/7/92,3,Remember The Time,Michael Jackson
3/7/92,52,Black Or White,Michael Jackson
3/14/92,3,Remember The Time,Michael Jackson
3/14/92,61,Black Or White,Michael Jackson
3/21/92,4,Remember The Time,Michael Jackson
3/21/92,71,Black Or White,Michael Jackson
3/28/92,3,Remember The Time,Michael Jackson
3/28/92,75,Black Or White,Michael Jackson
4/4/92,3,Remember The Time,Michael Jackson
4/4/92,83,Black Or White,Michael Jackson
4/11/92,4,Remember The Time,Michael Jackson
4/18/92,11,Remember The Time,Michael Jackson
4/25/92,16,Remember The Time,Michael Jackson
4/25/92,46,In The Closet,Michael Jackson
5/2/92,23,Remember The Time,Michael Jackson
5/2/92,26,In The Closet,Michael Jackson
5/9/92,14,In The Closet,Michael Jackson
5/9/92,27,Remember The Time,Michael Jackson
5/16/92,12,In The Closet,Michael Jackson
5/16/92,34,Remember The Time,Michael Jackson
5/23/92,10,In The Closet,Michael Jackson
5/23/92,45,Remember The Time,Michael Jackson
5/30/92,6,In The Closet,Michael Jackson
5/30/92,49,Remember The Time,Michael Jackson
6/6/92,8,In The Closet,Michael Jackson
6/6/92,52,Remember The Time,Michael Jackson
6/13/92,9,In The Closet,Michael Jackson
6/20/92,12,In The Closet,Michael Jackson
6/27/92,15,In The Closet,Michael Jackson
7/4/92,22,In The Closet,Michael Jackson
7/11/92,35,In The Closet,Michael Jackson
7/11/92,64,Jam,Michael Jackson
7/18/92,35,Jam,Michael Jackson
7/18/92,44,In The Closet,Michael Jackson
7/25/92,31,Jam,Michael Jackson
7/25/92,56,In The Closet,Michael Jackson
8/1/92,27,Jam,Michael Jackson
8/1/92,65,In The Closet,Michael Jackson
8/8/92,26,Jam,Michael Jackson
8/8/92,68,In The Closet,Michael Jackson
8/15/92,26,Jam,Michael Jackson
8/15/92,79,In The Closet,Michael Jackson
8/22/92,26,Jam,Michael Jackson
8/22/92,88,In The Closet,Michael Jackson
8/29/92,28,Jam,Michael Jackson
8/29/92,90,In The Closet,Michael Jackson
9/5/92,29,Jam,Michael Jackson
9/5/92,100,In The Closet,Michael Jackson
9/12/92,39,Jam,Michael Jackson
9/19/92,59,Jam,Michael Jackson
9/26/92,73,Jam,Michael Jackson
10/3/92,87,Jam,Michael Jackson
